Rumah,,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,HOT DEAL SALE!! YUK MILIKI RUMAH HOKI!! Rumah Bagus Minimalis Campaka Andir,"Andir, Bandung",2,2,1,72 m²,65 m²
Rumah,,"Rp 1,25 Miliar",Cicilan: 4 Jutaan per bulan,HOT DEAL SALE!! YUK KEPOIN HARGA KEREN!! Rumah Bagus Campaka Andir Pasteur,"Andir, Bandung",4,2,2,200 m²,150 m²
Rumah,,Rp 400 Juta,Cicilan: 1 Jutaan per bulan,Rumah ex kos2 an jl Maleber Barat,"Andir, Bandung",5,3,0,56 m²,95 m²
Rumah,,"Rp 1,6 Miliar",Cicilan: 5 Jutaan per bulan,Dijual Rumah Baru Ditengah Kota Andir. Rumah Sudah Smart Home,"Andir, Bandung",3,2,1,70 m²,116 m²
Rumah,,"Rp 1,6 Miliar",Cicilan: 5 Jutaan per bulan,Dijual Rumah Baru Ditengah Kota Andir. Rumah Sudah Smart Home,"Andir, Bandung",3,2,1,70 m²,116 m²
Rumah,,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Minimalis Sayap Rajawali Ciroyom Bandung,"Andir, Bandung",4,2,1,89 m²,145 m²
Rumah,,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,Rumah 2 lantai di jl Halteu Utara ,"Andir, Bandung",4,2,1,89 m²,145 m²
Rumah,,"Rp 11,9 Miliar",Cicilan: 44 Jutaan per bulan,Rumah Kawasan Ramai Cocok Untuk Usaha di Kebon Jati,"Andir, Bandung",0,0,0,598 m²,550 m²
Rumah,,"Rp 6,5 Miliar",Cicilan: 24 Jutaan per bulan,Dijual rumah mewah bagus dan twrawat kompleks perumahan Dadali Bandung,"Andir, Bandung",7,4,2,364 m²,500 m²
Rumah,,Rp 2 Miliar,Cicilan: 7 Jutaan per bulan,Dijual rumah kawasan sayap Jalan Elang Bandung,"Andir, Bandung",3,1,0,200 m²,180 m²
Rumah,,Rp 9 Miliar,Cicilan: 33 Jutaan per bulan,Rumah di Bawah Pasaran di Jalan Elang Andir Pusat Kota Bandung,"Andir, Bandung",5,7,2,718 m²,1000 m²
